freq;unit;nace_r2;geo\TIME_PERIOD,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;PC;B;AT,: ,: ,: ,18.3 ,: ,: ,: ,15.9 ,13.7 ,14.4 ,10.9 ,7.9 
A;PC;B;BE,-7.2 ,-8.8 ,-10.1 ,-13.4 ,-10.4 ,-7.1 ,-4.1 ,-1.0 ,-1.5 ,-2.1 ,-2.6 ,-3.1 
A;PC;B;BG,26.9 ,23.7 ,18.8 ,15.9 ,16.4 ,21.2 ,17.1 ,16.8 ,17.7 ,15.0 ,14.5 ,12.2 
A;PC;B;CH,: ,7.8 d,7.7 d,5.2 ,10.4 ,9.6 ,9.0 ,8.2 ,8.3 ,8.1 ,7.9 ,: 
A;PC;B;CY,: ,39.7 u,27.7 u,15.5 u,16.6 u,17.4 u,26.7 u,22.7 u,35.6 u,29.3 u,34.3 u,42.2 u
A;PC;B;CZ,: ,24.8 ,22.2 ,22.6 ,22.8 ,21.2 ,21.3 ,16.9 ,16.3 d,14.5 d,16.4 d,14.6 d
A;PC;B;DE,5.1 ,6.8 ,10.5 ,12.3 ,9.8 ,7.0 ,4.1 ,0.4 ,1.4 ,2.4 ,6.4 ,7.1 
A;PC;B;DK,: ,12.5 ,16.1 ,18.6 ,14.3 ,12.8 ,14.3 ,17.7 ,17.2 ,20.6 ,21.1 ,17.4 
A;PC;B;EE,: ,37.2 ,36.5 ,36.0 ,34.0 ,37.0 ,38.3 ,24.7 ,32.7 ,36.8 ,30.9 ,29.6 
A;PC;B;EL,: ,: ,: ,34.0 ,: ,: ,: ,-2.1 ,: ,: ,: ,-29 p
A;PC;B;ES,13.3 ,13.0 ,12.5 ,12.2 ,14.4 ,15.0 ,10.8 ,-9.8 ,-12.6 ,-4.7 ,-8.3 ,-16.1 
A;PC;B;FI,: ,15.6 ,20.3 ,16.3 ,7.4 ,10.6 ,5.4 ,5.2 ,11.6 ,11.4 ,11.7 ,5.2 
A;PC;B;FR,: ,3.1 ,9.6 ,13.5 ,12.9 ,13.4 ,15.2 ,15.4 ,16.2 ,18.4 ,20.2 ,22.3 
A;PC;B;HR,: ,: ,: ,-4.1 ,: ,: ,0.9 ,-2.5 ,: ,-2.9 ,-9.3 ,-9.4 
A;PC;B;HU,: ,4.5 ,2.3 ,-12.2 ,-18.2 ,-13.9 ,-26.1 ,-9.4 ,: ,-22.3 ,1.2 ,10.8 
A;PC;B;IE,: ,: ,: ,: ,: c,: c,: c,: c,: ,: ,: ,: 
A;PC;B;IT,: ,: ,: ,-15.2 ,: c,: c,: c,6.6 ,: c,: c,: c,5.1 p
A;PC;B;LT,14.1 ,14.3 ,5.0 ,1.2 b,2.5 ,3.9 ,6.0 ,4.2 ,5.7 ,6.6 ,7.2 ,6.9 
A;PC;B;LU,: ,: ,: ,-4.2 u,: ,: ,: ,9.3 ,11.7 ,11.4 ,6.2 ,: c
A;PC;B;LV,: ,: ,: ,12.5 ,: u,17.8 ,21.5 ,21.5 ,18.2 ,28.6 ,30.6 ,12.0 
A;PC;B;ME,: ,: ,: ,: ,: ,: ,: ,-3.4 ,: ,: ,: ,: 
A;PC;B;MK,: ,: ,: ,: ,: ,: ,: ,17.1 ,: ,: ,: ,: 
A;PC;B;MT,: ,15.4 ,24.3 ,26.8 ,26.4 u,8.9 u,2.9 u,-9.7 u,-7.6 u,1.2 u,1.7 u,28.9 u
A;PC;B;NL,: ,30.0 ,25.8 ,27.5 ,24.4 ,25.2 ,18.6 ,18.6 ,19.3 ,18.7 ,15.4 ,15.5 
A;PC;B;NO,: ,13.0 ,11.5 ,12.8 ,10.2 ,9.4 ,8.5 ,11.2 ,12.5 ,9.7 ,8 ,6.4 
A;PC;B;PL,28.1 ,25.4 ,22.7 ,20.0 ,20.9 ,21.8 ,21.7 ,21.5 ,18.6 ,15.8 ,15.6 ,20.0 
A;PC;B;PT,-4.6 ,-6.4 ,-8.9 ,-12.3 ,-15.3 ,-18.7 ,-21.8 ,-26.6 ,-17.6 ,-16.2 ,-8.9 ,-4.7 
A;PC;B;RO,11 d,-4.9 d,4.1 d,-13.9 ,-11.2 ,-12.2 ,-9.7 ,-9.5 ,-10.7 e,-12.9 e,-7.6 e,-2.9 
A;PC;B;RS,: ,: ,: ,: ,: ,: ,: ,6.5 ,: ,: ,: ,-5.9 
A;PC;B;SE,: ,7.0 ,8.7 ,5.5 ,5.3 ,8.1 ,6.4 ,7.6 ,5.3 ,6.1 ,8.7 ,8.4 
A;PC;B;SI,15.1 ,17.6 ,17.3 ,16.5 ,16.5 ,17.0 ,14.3 ,13.0 ,14.8 ,13.6 ,12.9 ,14.6 
A;PC;B;SK,: ,-2.2 ,2.9 ,5.1 ,-10.3 ,-8.2 ,10.0 ,13.0 ,14.1 ,17.6 ,20.6 ,21.5 
A;PC;B;TR,: ,: ,: ,: ,: ,: ,: ,15.0 ,: ,: ,: ,: 
A;PC;B;UK,-5.6 ,6.4 ,3.4 ,5.5 b,-12.1 ,-1.5 ,11.6 ,7.5 ,11.2 ,7.1 ,5.6 ,1.1 
A;PC;B-N;AT,26.7 ,26.2 ,25.5 ,25.2 ,24.7 ,24.3 ,23.8 ,23.8 ,23.4 ,22.3 ,22.3 ,22.0 
A;PC;B-N;BE,15.3 ,15.2 ,15.1 ,15.1 ,14.1 ,13.0 ,12.1 ,11.0 ,10.8 ,10.4 ,10.2 ,10.1 
A;PC;B-N;BG,12.6 ,13.2 ,14.5 ,14.1 ,13.7 ,15.1 ,14.8 ,14.3 ,14.9 ,13.7 ,13.6 ,13.1 
A;PC;B-N;CH,: ,23.5 d,23.5 d,23.0 ,20.6 ,20.3 ,20.3 ,19.9 ,19.7 ,19.5 ,19.5 ,: 
A;PC;B-N;CY,29.4 ,27.6 ,27.0 ,26.1 ,24.9 ,24.3 ,23.4 ,22.4 ,21.0 ,19.9 ,18.9 ,17.9 
A;PC;B-N;CZ,24.5 ,21.1 ,21.0 ,16.1 ,16.1 ,15.5 ,15.9 ,16.5 ,16.1 d,15.9 d,16.4 d,15 d
A;PC;B-N;DE,26.0 ,26.0 ,26.0 ,25.7 ,25.8 ,26.0 ,25.4 ,25.7 ,25.1 ,24.4 ,23.9 ,23.4 
A;PC;B-N;DK,16.7 ,16.2 ,16.8 ,17.9 ,18.3 ,17.5 ,17.1 ,16.4 ,15.4 ,16.1 ,15.3 ,14.4 
